Data,JE00B1VS3333
06/2011,47258.03595367219
07/2011,54183.54718568301
08/2011,55769.69817250227
09/2011,43926.09165473185
10/2011,47618.606233409824
11/2011,45474.3057600549
12/2011,42370.7655832465
01/2012,49594.12645560094
02/2012,53840.374405896866
03/2012,47182.33802959417
04/2012,45861.34679291099
05/2012,43986.68503823839
06/2012,41742.43274689041
07/2012,44534.63940710782
08/2012,46930.522808463196
09/2012,51947.53236385001
10/2012,48138.54608037756
11/2012,51129.00764891492
12/2012,43945.66296152124
01/2013,45744.93224654895
02/2013,42653.248761354735
03/2013,43246.7781870105
04/2013,36103.68882827269
05/2013,33523.15001095828
06/2013,27840.528431753613
07/2013,28991.04620881128
08/2013,34462.56787540879
09/2013,30959.321798835666
10/2013,31373.180795350272
11/2013,28214.47059527075
12/2013,27233.89826351386
01/2014,27506.130697275505
02/2014,29635.3680475441
03/2014,27862.434275164876
04/2014,26767.941493107344
05/2014,26839.356892472853
06/2014,29359.87129147078
07/2014,29701.636766969666
08/2014,28342.9310577054
09/2014,26093.418385529403
10/2014,24811.3651484703
11/2014,24529.30883880519
12/2014,25210.259150526203
01/2015,28674.824095065833
02/2015,28164.172654137463
03/2015,29536.400693151805
04/2015,28186.838535209714
05/2015,29066.493230687676
06/2015,26827.484354971806
07/2015,25372.1713057802
08/2015,24596.262885462114
09/2015,24970.650526727895
10/2015,27080.626505383054
11/2015,25394.05423408636
12/2015,24209.613272909155
01/2016,24580.653419475348
02/2016,25815.97291423369
03/2016,25732.976102474764
04/2016,29816.34623029909
05/2016,27405.371790077512
06/2016,31465.73099730605
07/2016,34298.10398646361
08/2016,32004.42980458631
09/2016,32947.26268274939
10/2016,30820.48454027158
11/2016,29762.297042579747
12/2016,29240.99132022194
01/2017,30500.18520632022
02/2017,32714.919420604157
03/2017,32023.65417508165
04/2017,30182.96978566173
05/2017,29219.024772000867
06/2017,27323.885198897577
07/2017,27046.968132352402
08/2017,27740.007354976293
09/2017,27004.19831801507
10/2017,27317.99816298376
11/2017,26421.57648910986
12/2017,26558.285892024203
01/2018,26111.57145534104
02/2018,25399.362872870497
03/2018,24923.36524563216
04/2018,25568.68120808886
05/2018,26662.731693222802
06/2018,25904.92685590376
07/2018,24759.006808710044
08/2018,23676.88759049106
09/2018,23251.49018233973
10/2018,23830.212433354875
11/2018,23560.608073016392
12/2018,25383.352988484105
01/2019,26286.931827133958
02/2019,26014.136858255224
03/2019,25227.558819329646
04/2019,25063.066381361514
05/2019,24353.712505969394
06/2019,25073.248535239873
07/2019,27687.8517925185
08/2019,31208.456745405918
09/2019,29672.958091390585
10/2019,30298.91602689467
11/2019,28903.258244234563
12/2019,30041.821615987377
01/2020,30253.51247027253
02/2020,29255.68433710271
03/2020,23747.89229986035
04/2020,26325.741760977595
05/2020,29481.143529188023
06/2020,29730.895160010215
07/2020,37889.9309083447
08/2020,42705.9574130382
09/2020,37762.301848675124
10/2020,37619.86045910553
11/2020,34425.491044674396
12/2020,40172.72690622115
01/2021,42029.527180281926
02/2021,40943.84049775835
03/2021,38051.11914522257
04/2021,39796.148576508655
05/2021,42064.64551330678
06/2021,40254.4602020583
07/2021,39784.927155785364
08/2021,37694.084005282195
09/2021,34471.343561639515
10/2021,38218.95898035928
11/2021,37284.01203121726
12/2021,37750.49509564951
01/2022,37330.81990457141
02/2022,40238.82287894748
03/2022,41352.82640279995
04/2022,41132.432820130525
05/2022,37560.20340952738
06/2022,36312.527002475115
07/2022,36336.592054733126
08/2022,33126.00159546062
09/2022,36004.55267897721
10/2022,35656.87736797052
11/2022,38312.207576943845
12/2022,41377.8078324435
01/2023,39106.71100053784
02/2023,35593.555242080496
03/2023,40430.74206061474
04/2023,41499.17244293086
05/2023,40038.919162146456
06/2023,38019.45484446739
07/2023,40606.432197792565
08/2023,41473.371655808915
09/2023,39997.31236143661
10/2023,40102.97569136933
11/2023,41998.16780941929
12/2023,39486.30724667812
01/2024,39061.59635776546
02/2024,37815.26353662917
03/2024,41581.43101531109
04/2024,45540.07935821635
