Data,IE00BSJCQV56
02/2009,17219.06169841952
03/2009,16775.631092799074
04/2009,19324.909622446117
05/2009,19952.569369396304
06/2009,19181.32483488832
07/2009,21277.351676290007
08/2009,24509.937692445845
09/2009,25595.949189393064
10/2009,25933.16262185196
11/2009,25159.150039406497
12/2009,26095.58187934813
01/2010,26090.644841854286
02/2010,25958.791739079657
03/2010,27757.142328439004
04/2010,26267.085478534747
05/2010,24806.426849479172
06/2010,25667.338308593622
07/2010,27675.87323726628
08/2010,27919.53965031579
09/2010,30707.413901357846
10/2010,31539.704850948296
11/2010,28824.354648265864
12/2010,31604.978224581137
01/2011,31082.27768764404
02/2011,32057.280682551158
03/2011,32592.769246563916
04/2011,33461.185670924555
05/2011,34529.51430873906
06/2011,33912.29572198874
07/2011,32874.16462482392
08/2011,30824.643327788322
09/2011,28011.251773805758
10/2011,29490.56712529257
11/2011,27732.487662988147
12/2011,27876.428929919937
01/2012,28898.60108494842
02/2012,29090.37396739538
03/2012,30500.274188750354
04/2012,29930.1315472619
05/2012,29683.61531403021
06/2012,30824.48798256406
07/2012,32739.03633506448
08/2012,32438.846306823765
09/2012,32361.664808651316
10/2012,34136.98999796566
11/2012,34852.47090499715
12/2012,34993.69704462786
01/2013,34624.10272104358
02/2013,35321.23274808799
03/2013,35229.678093427014
04/2013,37185.47999502679
05/2013,37410.555582137094
06/2013,34777.115711731036
07/2013,35847.448724380854
08/2013,34664.03575978969
09/2013,36133.68006633791
10/2013,37359.075518636084
11/2013,37258.72785379446
12/2013,36766.747291211526
01/2014,36555.91880583687
02/2014,38966.95422819629
03/2014,38577.93221605035
04/2014,39994.130182898836
05/2014,42055.584549373816
06/2014,42978.96228212017
07/2014,42276.995470032365
08/2014,43321.06170442396
09/2014,42136.673933223974
10/2014,42677.28705213049
11/2014,44268.06244768203
12/2014,45068.84011721101
01/2015,51736.455904098664
02/2015,54678.73956807215
03/2015,54240.80770418764
04/2015,52807.11676242616
05/2015,50717.842016550945
06/2015,48162.49405280902
07/2015,51484.883394093624
08/2015,50493.38969824308
09/2015,50583.92338891738
10/2015,54658.86022109162
11/2015,54005.92890242437
12/2015,53379.19286626804
01/2016,51745.678312903714
02/2016,51581.56503681867
03/2016,55303.960876773206
04/2016,54469.8575589516
05/2016,56139.539971581755
06/2016,56017.62741562117
07/2016,59950.956785070186
08/2016,59914.403953505185
09/2016,58713.64189895697
10/2016,55034.74941989829
11/2016,53189.37221230394
12/2016,55675.04901936315
01/2017,54218.101907283424
02/2017,56034.78513483245
03/2017,56300.627459199066
04/2017,57706.98097676359
05/2017,60575.75164050012
06/2017,59678.64540952873
07/2017,59448.6675665204
08/2017,60573.32777974652
09/2017,60665.66018907153
10/2017,61488.59534943119
11/2017,62117.7577430407
12/2017,63884.99935916246
01/2018,63332.179375212065
02/2018,59902.84920472124
03/2018,61690.75394143353
04/2018,64228.792024784896
05/2018,64963.57240889876
06/2018,65311.933936051166
07/2018,66753.65306604432
08/2018,67744.48607028072
09/2018,65498.689919876975
10/2018,63018.34752061067
11/2018,63281.05606009622
12/2018,60074.414356841145
01/2019,65904.12672952337
02/2019,63811.42455533895
03/2019,67732.86342226595
04/2019,66517.87576811384
05/2019,67805.93775314446
06/2019,65394.07455998582
07/2019,66959.66834845238
08/2019,69208.40077255134
09/2019,71242.35105709577
10/2019,72249.91763597033
11/2019,73769.54184582821
12/2019,75352.4643340099
01/2020,77681.72000737148
02/2020,72817.862642844
03/2020,57182.11482688683
04/2020,58618.16760412128
05/2020,60522.62367857925
06/2020,61616.04407277799
07/2020,61941.64895320375
08/2020,63353.78324508126
09/2020,63487.06264819922
10/2020,59935.8495878035
11/2020,67862.63184077092
12/2020,70357.52018444528
