Data,DE000A0H0744
12/2015,16407.480778176345
01/2016,15028.941661250088
02/2016,15497.976528301879
03/2016,16814.975835269157
04/2016,17472.741054487575
05/2016,17322.994085862512
06/2016,17804.986253683113
07/2016,19409.008845160755
08/2016,19443.47289692821
09/2016,19563.673771797796
10/2016,19711.90710791349
11/2016,20250.31626298308
12/2016,20445.536930442948
01/2017,20836.8339071151
02/2017,21721.628525254877
03/2017,21850.604972817386
04/2017,21190.12990486137
05/2017,20401.86881162363
06/2017,20531.490011904083
07/2017,20518.55784828408
08/2017,20275.262014459775
09/2017,20303.563139067086
10/2017,20579.07529325409
11/2017,20567.664338964823
12/2017,20930.53874176714
01/2018,20571.35867198141
02/2018,19787.092456146118
03/2018,18857.236042576707
04/2018,19588.43547247041
05/2018,20155.957892669827
06/2018,19679.87947760142
07/2018,20123.664971138107
08/2018,19563.994232201556
09/2018,19874.451714266164
10/2018,19191.568193713134
11/2018,19660.070226959462
12/2018,18617.028888475168
01/2019,20034.405768788907
02/2019,20424.71316444716
03/2019,20511.723966646427
04/2019,20905.62340755713
05/2019,20797.727809940126
06/2019,20963.197764947367
07/2019,21184.517656893222
08/2019,20689.941350618123
09/2019,21801.745721798252
10/2019,21743.74797876647
11/2019,21994.96334476525
12/2019,21739.45797933825
01/2020,21529.587428097268
02/2020,19540.384338662163
03/2020,14603.095328418405
04/2020,16794.47377947509
05/2020,16610.003532628853
06/2020,16893.51851628717
07/2020,15717.032061960712
08/2020,16554.360116954376
09/2020,16092.2671905042
10/2020,15993.760187373437
11/2020,17983.812291068185
12/2020,17930.01411310836
01/2021,18421.606523472507
02/2021,19933.566586642057
03/2021,20506.27618295675
04/2021,20043.839021397955
05/2021,20146.786797679488
06/2021,20352.72278365822
07/2021,19986.414196153437
08/2021,20043.486706773838
09/2021,19847.843670162034
10/2021,19756.7200185511
11/2021,19331.06809000003
12/2021,20220.70135554924
01/2022,21064.998289731873
02/2022,21155.42312436121
03/2022,21474.723091182197
04/2022,21545.582232410554
05/2022,21492.381657807317
06/2022,20351.865260250877
07/2022,21766.047096423506
08/2022,21662.186835264976
09/2022,19547.224612107562
10/2022,18715.95838426505
11/2022,20465.104461785388
12/2022,21007.689372566052
01/2023,22012.553439318923
02/2023,21456.61293400171
03/2023,20795.80397422026
04/2023,20660.26753068037
05/2023,19988.870255544876
06/2023,20586.368828219143
07/2023,21330.8518704504
08/2023,20982.228318548612
09/2023,21224.475837672933
10/2023,20251.42748546341
11/2023,21168.83776635322
12/2023,23114.132627765764
01/2024,23642.0093001928
02/2024,23828.45072357708
03/2024,23993.230312556432
04/2024,24487.37185117905
