Data,IE00B3SC9K16
10/1994,94226.0558606339
11/1994,92369.23935708527
12/1994,95650.82791223266
01/1995,96289.68099594425
02/1995,99001.39180848798
03/1995,97714.64879268115
04/1995,98864.72541570349
05/1995,104324.05803258045
06/1995,106009.69249036458
07/1995,108347.58407106309
08/1995,111647.75473551177
09/1995,118164.46596993771
10/1995,116282.26736333415
11/1995,121668.31806108452
12/1995,125474.69577451677
01/1996,131541.03424089268
02/1996,133686.3679631452
03/1996,134966.38764559227
04/1996,138142.65573037547
05/1996,143564.3986220484
06/1996,143303.40254683077
07/1996,134928.66458472126
08/1996,136711.99724389106
09/1996,145634.38659417737
10/1996,149834.36483189478
11/1996,159103.00698121093
12/1996,159556.6178263367
01/1997,175135.96050089668
02/1997,184071.7891635988
03/1997,177886.28825857703
04/1997,190649.8077831633
05/1997,200845.66693435767
06/1997,212371.24709816734
07/1997,235554.40839462695
08/1997,227904.62025003383
09/1997,233528.78530774728
10/1997,223052.12532168571
11/1997,229053.9517356094
12/1997,238725.8322345009
01/1998,247377.72046840668
02/1998,264163.3966404734
03/1998,278898.36665210983
04/1998,280266.74504032853
05/1998,270467.80432771816
06/1998,284151.19687391113
07/1998,282012.39736618305
08/1998,241773.82866933738
09/1998,245651.24933475672
10/1998,254892.6558053029
11/1998,280085.499737672
12/1998,294724.7308581835
01/1999,317480.0611483492
02/1999,318835.42682684783
03/1999,340596.02934906277
04/1999,357712.87397940696
05/1999,354064.45291700895
06/1999,377698.44978653983
07/1999,352910.247910064
08/1999,354660.08811375796
09/1999,341125.5750194796
10/1999,370773.6623575854
11/1999,392040.5052304893
12/1999,421469.8045150684
01/2000,409241.132239022
02/2000,402637.7030790862
03/2000,450252.4228713943
04/2000,458085.1338417573
05/2000,435472.7379002706
06/2000,434069.18130294525
07/2000,440701.9747410836
08/2000,481114.50456438167
09/2000,462211.5307533311
10/2000,477845.74495192437
11/2000,426523.45894433075
12/2000,397391.5496320742
01/2001,412405.351194229
02/2001,377328.43562977726
03/2001,369866.42452803394
04/2001,396661.275385498
05/2001,417633.59656002675
06/2001,408023.8748787396
07/2001,391471.01145589247
08/2001,349341.9649256551
09/2001,323545.32840919023
10/2001,331473.5878581766
11/2001,362756.97148969566
12/2001,368537.7762811666
01/2002,370698.5782783282
02/2002,362825.8208530734
03/2002,373160.5453818642
04/2002,337909.9029943965
05/2002,321812.62951573596
06/2002,279723.06279072573
07/2002,264674.4712857463
08/2002,264549.10418061254
09/2002,234021.23915577497
10/2002,255146.37391789223
11/2002,268756.0946306535
12/2002,239007.65081531857
01/2003,226111.3850524643
02/2003,223343.83156914593
03/2003,223057.83192405652
04/2003,236541.6335945099
05/2003,234636.12288620888
06/2003,245726.3189971005
07/2003,252669.08627462763
08/2003,266589.44925985957
09/2003,247082.68499599132
10/2003,261830.16169959737
11/2003,256133.040968894
12/2003,255842.30410021258
01/2004,265619.64191911
02/2004,268073.24687718385
03/2004,267968.9705919448
04/2004,269938.848718547
05/2004,267867.3643287335
06/2004,273859.76251057035
07/2004,267049.8737042984
08/2004,266788.10383054835
09/2004,263206.96696768334
10/2004,260317.49421181154
11/2004,259614.71120125861
12/2004,262251.46693843836
01/2005,267224.0223425666
02/2005,268195.4361303147
03/2005,269843.2267106025
04/2005,265077.13555069827
05/2005,287606.5751152781
06/2005,293990.2144668981
07/2005,304974.61785371613
08/2005,299503.7788627113
09/2005,305946.0069037756
10/2005,301364.19484699157
11/2005,320270.6826421932
12/2005,319649.9630961372
01/2006,319636.2142025973
02/2006,326468.00072829705
03/2006,324358.55362075043
04/2006,317243.6532247363
05/2006,299897.62244004686
06/2006,303857.0531282933
07/2006,303544.16890565987
08/2006,308806.8504510855
09/2006,321407.44450278045
10/2006,331408.3735672615
11/2006,325038.49879922695
12/2006,329694.93489197217
01/2007,341225.7996756451
02/2007,328425.54096197215
03/2007,329269.4522116012
04/2007,336098.94995789643
05/2007,351757.40806463675
06/2007,344500.1800763506
07/2007,328873.9916128461
08/2007,333875.54775175446
09/2007,334921.98148527934
10/2007,334206.6867053583
11/2007,313248.35468904214
12/2007,312266.94068933395
01/2008,290337.2611229007
02/2008,275766.03990267625
03/2008,263508.1063953283
04/2008,281358.81825164735
05/2008,286402.89865782694
06/2008,258751.58725960163
07/2008,258266.9030354222
08/2008,277336.32423455897
09/2008,259470.98581746308
10/2008,241132.1264295794
11/2008,223836.53950954703
12/2008,207323.1240508631
01/2009,206767.07626884672
02/2009,188074.15595250874
03/2009,193978.49655349978
04/2009,213108.1083575175
05/2009,211681.35990809527
06/2009,211593.59610236782
07/2009,227452.02128118122
08/2009,233124.4973036553
09/2009,236002.4794715053
10/2009,228946.56346343018
