Data,IE00BYXYX745
12/2006,39062.8167969329
01/2007,39967.40275699867
02/2007,39299.09294378396
03/2007,40789.802749223505
04/2007,42100.73066835247
05/2007,43577.91867385526
06/2007,42692.578200353644
07/2007,41294.12850889783
08/2007,40333.877713194146
09/2007,39744.73198887337
10/2007,40970.91993809011
11/2007,37314.59503504857
12/2007,36412.46158079365
01/2008,32578.82968226015
02/2008,32746.709836191
03/2008,31780.116218625062
04/2008,33437.26991709562
05/2008,34096.913989816065
06/2008,30211.902951366435
07/2008,28725.236799515744
08/2008,30006.050455280016
09/2008,25464.982577404255
10/2008,21054.78410912329
11/2008,19872.955993567113
12/2008,18956.66042053526
01/2009,18965.91475902783
02/2009,17463.900155317515
03/2009,17633.258162396833
04/2009,20821.586392120236
05/2009,21928.464943248553
06/2009,21323.512612637944
07/2009,23484.592714100323
08/2009,24905.241661700646
09/2009,25739.57953804146
10/2009,24804.23832736232
11/2009,25134.40796999453
12/2009,26646.92234776046
01/2010,26375.50931172381
02/2010,26479.7241989572
03/2010,28758.31249026758
04/2010,28872.59015413759
05/2010,27274.229189640675
06/2010,27267.038889325122
07/2010,28787.377080354872
08/2010,28204.279905973115
09/2010,29705.43441930014
10/2010,30394.850452440773
11/2010,30271.337156088044
12/2010,32181.919502398487
01/2011,32426.485108453933
02/2011,33210.893368642624
03/2011,32439.021912693817
04/2011,33265.35545668856
05/2011,33390.38093054109
06/2011,32230.98882211979
07/2011,31220.955887687316
08/2011,27915.98190798793
09/2011,25963.589765953155
10/2011,27818.44773135417
11/2011,27484.86424568685
12/2011,27906.52091455055
01/2012,29137.233238593355
02/2012,30616.983723253266
03/2012,31049.669918866377
04/2012,30620.766883659566
05/2012,28452.353965605296
06/2012,29926.23454130025
07/2012,30979.501015127
08/2012,31518.801298063838
09/2012,31934.50450808588
10/2012,32141.84175142229
11/2012,33154.62598729591
12/2012,33651.02350037044
01/2013,34337.503275325296
02/2013,35022.017571269214
03/2013,35886.90411083273
04/2013,36572.48492768611
05/2013,37140.70796752483
06/2013,35468.24821131601
07/2013,38101.31635018496
08/2013,37885.19155431969
09/2013,39636.03743630832
10/2013,40827.429503070496
11/2013,41221.5877796864
12/2013,41928.003539680736
01/2014,41875.82805409029
02/2014,44315.50338104048
03/2014,43808.58637114905
04/2014,44283.628455914564
05/2014,45463.814184109106
06/2014,44939.1359283205
07/2014,43796.54086839754
08/2014,44454.56674223483
09/2014,44064.2938221207
10/2014,43625.05522568379
11/2014,45278.165147701344
12/2014,45610.589183395794
01/2015,49209.77246047082
02/2015,52765.54260235086
03/2015,53621.092802994805
04/2015,53938.36909303638
05/2015,55327.601865987905
06/2015,52931.73648996097
07/2015,55475.814068455744
08/2015,51230.22047630004
09/2015,49282.501455874924
10/2015,53425.225185341405
11/2015,55075.40033400915
12/2015,52678.116286852375
01/2016,48713.950370951876
02/2016,48381.04110489249
03/2016,50013.72447818541
04/2016,50863.68093387874
05/2016,51722.90675241672
06/2016,48367.780819853855
07/2016,51199.356324718654
08/2016,51382.279464814776
09/2016,51892.79094110126
10/2016,50402.44231039449
11/2016,50942.22501045235
12/2016,53406.498504394534
01/2017,54170.50017941428
02/2017,55626.59729735099
03/2017,57145.7277982041
04/2017,58748.38970571755
05/2017,59806.20539614232
06/2017,58105.8048829018
07/2017,58804.227331080474
08/2017,58659.486040762975
09/2017,60590.84083072978
10/2017,62124.40522406792
11/2017,60859.60364715024
12/2017,61320.02562035578
01/2018,62213.364376449696
02/2018,60427.10380501543
03/2018,59070.15773578853
04/2018,61582.47089221183
05/2018,62751.17791610625
06/2018,62106.92524045408
07/2018,63484.288713112364
08/2018,63390.236991809754
09/2018,63251.412345543984
10/2018,58442.71985361203
11/2018,56605.58465120039
12/2018,53276.96612742023
01/2019,57454.73762599222
02/2019,59719.76282871299
03/2019,60475.32243861542
04/2019,63202.99439995171
05/2019,59823.88665539852
06/2019,62533.52088552225
07/2019,62706.91575929972
08/2019,61983.13964658195
09/2019,64423.594628762985
10/2019,65577.79469662224
11/2019,68294.11180775636
12/2019,69594.42079843202
01/2020,69168.97486553139
02/2020,63683.52232383705
03/2020,52200.339067325025
04/2020,57295.66405621954
05/2020,59700.22179366916
06/2020,61270.43814277243
