Data,IE00BL25JM42
07/2011,30309.075031849497
08/2011,26669.52278041636
09/2011,25946.27093780577
10/2011,27633.740382312575
11/2011,27796.369176151176
12/2011,28619.849012256967
01/2012,29942.397244474072
02/2012,30920.882065168887
03/2012,31115.40858037513
04/2012,30288.04662823394
05/2012,28688.076928057064
06/2012,30053.475932562993
07/2012,30485.658506020587
08/2012,30632.74314798445
09/2012,30750.661057095294
10/2012,30822.6738544019
11/2012,31181.208718960366
12/2012,32198.339943857805
01/2013,33222.42252508639
02/2013,33807.85571292957
03/2013,35261.37779198113
04/2013,36115.99699495275
05/2013,37026.51154165407
06/2013,35682.02829683487
07/2013,37463.529644860995
08/2013,36923.61359675926
09/2013,38213.40100439184
10/2013,39442.32593010747
11/2013,40566.55682269456
12/2013,40766.15316645559
01/2014,40392.461164637985
02/2014,41443.875534904604
03/2014,41881.09291774307
04/2014,42201.83195547164
05/2014,43728.280926838765
06/2014,44601.57678064231
07/2014,45179.92236875662
08/2014,46053.49694030308
09/2014,46977.40697766517
10/2014,46540.715096620705
11/2014,47638.97578570567
12/2014,48297.811781616205
01/2015,50780.56945741537
02/2015,54473.87313824881
03/2015,56208.61721833512
04/2015,55634.0057694785
05/2015,57620.20034151558
06/2015,54949.483903117914
07/2015,56287.95238228548
08/2015,51128.16713812682
09/2015,48479.25889406561
10/2015,53332.45267277032
11/2015,54557.080271490646
12/2015,52259.43884445974
01/2016,47700.287701901885
02/2016,47278.65035706241
03/2016,48068.03206915797
04/2016,49608.14500188289
05/2016,50626.78496270128
06/2016,48887.87218172759
07/2016,51606.09250326363
08/2016,52513.90767860756
09/2016,52551.43258492005
10/2016,53767.036767107995
11/2016,56356.71937132413
12/2016,58612.450011271154
01/2017,58770.44018595367
02/2017,60827.7375177933
03/2017,60576.25159354748
04/2017,59709.83193079359
05/2017,58735.996995639354
06/2017,58405.62391874134
07/2017,58522.02316202331
08/2017,57864.17277054371
09/2017,59918.747926523225
10/2017,62291.87246430552
11/2017,62783.26051967626
12/2017,63143.89371582338
01/2018,64011.011589148016
02/2018,62888.79237389189
03/2018,60968.10826800722
04/2018,63484.64448346708
05/2018,63995.90488242968
06/2018,62931.18330908083
07/2018,64231.913871749464
08/2018,64100.52271187203
09/2018,65693.12427552935
10/2018,62320.64489681744
11/2018,62351.30301305055
12/2018,57132.73793365888
01/2019,61873.99811065487
02/2019,62836.656972822675
03/2019,63495.2666376922
04/2019,64732.74190806426
05/2019,59891.7668649887
06/2019,62729.66721277749
07/2019,63803.085612330215
08/2019,61810.90532041068
09/2019,65673.33164541933
10/2019,66613.72748200783
11/2019,68951.43578755096
12/2019,69614.95749486312
01/2020,68314.15617307647
02/2020,62364.02171685511
03/2020,52313.280229495205
04/2020,56487.47223627784
05/2020,56842.667436658274
06/2020,56913.6236255478
07/2020,52746.92481809029
08/2020,55209.06966625796
09/2020,54524.2890462559
10/2020,52693.89751028685
11/2020,60158.925535994
12/2020,61442.184304238974
01/2021,62919.62022131691
02/2021,66846.20806768723
03/2021,73062.21108928473
04/2021,71634.3572710659
05/2021,73258.47791516992
06/2021,74045.63068378108
07/2021,73576.67771410602
08/2021,74744.62786886173
09/2021,75340.11479096948
10/2021,75391.8149602039
11/2021,74721.20965372979
12/2021,80199.15910804771
01/2022,81414.66229137544
02/2022,79894.65455248972
03/2022,80894.78807669051
04/2022,80215.04242098021
05/2022,81911.47335301075
06/2022,76055.16574281419
07/2022,79766.24132277076
08/2022,78308.10736645662
09/2022,72570.83919918728
10/2022,77181.3995574073
11/2022,80550.24297198543
12/2022,77125.47800652601
01/2023,81331.46938566047
02/2023,81564.524867189
03/2023,79971.02273950836
04/2023,80099.2180844467
05/2023,80291.66826869301
06/2023,84154.39666025034
07/2023,86299.3286754535
08/2023,85256.5533794448
09/2023,86072.25804810398
10/2023,81749.93723131288
11/2023,85786.64525486557
12/2023,89310.77327598074
01/2024,91506.53668653322
02/2024,92737.5434632681
03/2024,97639.04821879054
04/2024,94672.5401955737
