Data,GB00B00FHZ82
02/2001,16084.41730729333
03/2001,16268.308181437162
04/2001,16524.587126555394
05/2001,17576.661630039016
06/2001,17774.494896298613
07/2001,16911.237434428425
08/2001,16593.106198716847
09/2001,17861.943036959696
10/2001,17148.685591122758
11/2001,17217.318066137046
12/2001,17440.7348420549
01/2002,18163.61932198306
02/2002,19062.824942451076
03/2002,19186.700799306876
04/2002,18994.626789691356
05/2002,19309.609472746928
06/2002,17714.254769985662
07/2002,17270.584055161547
08/2002,17636.68118548714
09/2002,18195.401645575246
10/2002,17799.88028527069
11/2002,17800.979544753554
12/2002,18096.183421848848
01/2003,18806.68218847887
02/2003,17830.43116224205
03/2003,16999.65518080392
04/2003,16727.975132236577
05/2003,16897.554559766664
06/2003,16731.094611673052
07/2003,17313.83715057839
08/2003,18981.617997627436
09/2003,18381.89902091725
10/2003,18340.09906382087
11/2003,18321.876364479078
12/2003,18218.66731792489
01/2004,17795.203356727416
02/2004,17567.41265117664
03/2004,19095.928283467827
04/2004,17909.088419813925
05/2004,17749.060836110544
06/2004,17921.433852740756
07/2004,17886.992069457014
08/2004,18494.73066438752
09/2004,18416.732027876755
10/2004,18363.68590744907
11/2004,18738.194205307842
12/2004,17662.253867644198
01/2005,17782.507529428192
02/2005,18029.659497233937
03/2005,18094.53225636461
04/2005,18445.54020548738
05/2005,18430.506267534645
06/2005,19815.793283178464
07/2005,19440.368773240956
08/2005,19457.479816013067
09/2005,21522.75153968477
10/2005,21435.713591766205
11/2005,23049.494396078582
12/2005,23792.025528747556
01/2006,25670.950223126343
02/2006,25600.44515382774
03/2006,26282.061423793995
04/2006,28068.685128776266
05/2006,27719.500015847538
06/2006,26351.025873155486
07/2006,27043.42188457218
08/2006,26475.34695890495
09/2006,25820.702464410377
10/2006,25932.22779739786
11/2006,26707.79225177493
12/2006,26304.408243919017
01/2007,27356.86546360938
02/2007,27380.5072391442
03/2007,27051.21323532282
04/2007,27081.789221432005
05/2007,26654.6104936595
06/2007,26196.641257766558
07/2007,26397.020233842948
08/2007,26649.933161346158
09/2007,28471.71458274971
10/2007,29682.87997505225
11/2007,28820.77968020877
12/2007,30844.36908347186
01/2008,33691.71328159445
02/2008,34747.01654447099
03/2008,32014.36015495006
04/2008,30383.08998005535
05/2008,30951.242198898566
06/2008,31968.02673533872
07/2008,31845.585467223842
08/2008,30604.235188426734
09/2008,33467.63386691516
10/2008,30989.763887111087
11/2008,34612.538347396716
12/2008,33603.90909717337
01/2009,38778.689392799424
02/2009,40682.570464959834
03/2009,37197.80414073461
04/2009,35925.00810288336
05/2009,37348.94188850342
06/2009,35675.59502133036
07/2009,35825.353610480044
08/2009,36100.65552979879
09/2009,36656.15757842627
10/2009,37866.76425830831
11/2009,42161.387311044324
12/2009,41269.990521501124
01/2010,41573.16917448718
02/2010,43952.7454001336
03/2010,44524.3033928684
04/2010,47633.736778973005
05/2010,52753.85270126167
06/2010,54490.342655752516
07/2010,48211.68263451373
08/2010,52781.545866762695
09/2010,51421.095071917036
10/2010,52168.67996471125
11/2010,57116.62109047345
12/2010,56615.910631260915
01/2011,51970.89711241865
02/2011,54676.13953796585
03/2011,54278.92208575877
04/2011,55355.64131150747
05/2011,57202.301770785816
06/2011,55765.43497541347
07/2011,61119.31955327668
08/2011,67147.250930322
09/2011,64167.010904043345
10/2011,65759.71434192116
11/2011,69551.32802985713
12/2011,65018.37294263951
01/2012,70700.73524250557
02/2012,70306.02598425167
03/2012,66442.74570517066
04/2012,66680.15953336681
05/2012,67006.16695230013
06/2012,67704.53006049551
07/2012,70388.65024694613
08/2012,69660.20802402135
09/2012,73173.1893737413
10/2012,70456.92203207873
11/2012,70758.48038689728
12/2012,67117.74489936755
01/2013,65361.440186480206
02/2013,64345.83346109383
03/2013,66357.44204310719
04/2013,59723.251910307736
05/2013,56962.193385740684
06/2013,48396.06947770475
07/2013,52569.5657192309
08/2013,55929.98558370013
09/2013,52111.023435889525
10/2013,51476.87679286952
11/2013,48806.626696676096
12/2013,46173.49815653848
01/2014,49038.54802305608
02/2014,50863.72598506739
03/2014,49604.11530966233
04/2014,49241.2824600517
05/2014,48626.10075166803
06/2014,50927.05664116013
07/2014,50795.913694596755
08/2014,51534.69929271233
09/2014,51086.25388178504
10/2014,49105.343099398735
11/2014,50033.10909931314
12/2014,52143.46524833226
01/2015,58830.49054150019
02/2015,56979.58267753793
03/2015,58184.05098592644
04/2015,55481.48604414285
05/2015,57237.94357031405
06/2015,55137.67155588466
07/2015,52747.77975237108
08/2015,53282.52515620685
09/2015,52334.937390411644
10/2015,54555.412033597815
11/2015,52794.835450250874
12/2015,51300.54722621246
01/2016,53514.16554934658
02/2016,59596.181392962586
03/2016,57071.63013012946
04/2016,59203.54512035634
