Data,IE00B4ND3602
02/2002,20012.245339076835
03/2002,20145.7929525262
04/2002,19947.643187684513
05/2002,20281.92031767439
06/2002,18609.78289240533
07/2002,18146.939518023173
08/2002,18534.789106844073
09/2002,19125.204725122992
10/2002,18712.818741654402
11/2002,18717.249124361155
12/2002,19030.9235452306
01/2003,19781.452821468578
02/2003,18758.06340526801
03/2003,17887.348775238937
04/2003,17604.6123344315
05/2003,17786.159456727524
06/2003,17614.05832725961
07/2003,18230.63687414208
08/2003,19989.920165415908
09/2003,19361.842396300297
10/2003,19321.202396044646
11/2003,19305.386084086356
12/2003,19200.015266943043
01/2004,18757.101435304587
02/2004,18520.28027290871
03/2004,20134.944613118183
04/2004,18887.05198070105
05/2004,18721.590987232015
06/2004,18906.68517390267
07/2004,18873.658584100416
08/2004,19518.223610801244
09/2004,19439.324241856284
10/2004,19386.734608208935
11/2004,19785.499600131665
12/2004,18652.885827714068
01/2005,18783.14847379037
02/2005,19047.495001295494
03/2005,19119.363359600407
04/2005,19493.597449458415
05/2005,19481.120677661336
06/2005,20948.783928075336
07/2005,20555.560129585025
08/2005,20577.249965596922
09/2005,22764.978266328228
10/2005,22676.900628146792
11/2005,24388.09225695357
12/2005,25178.01375213201
01/2006,27170.800075748877
02/2006,27100.930570264944
03/2006,27827.240186225183
04/2006,29723.773097912588
05/2006,29359.199721780886
06/2006,27914.913687130236
07/2006,28653.28731428661
08/2006,28056.40983272869
09/2006,27367.580949645242
10/2006,27490.576920095733
11/2006,28317.558332572655
12/2006,27894.816622585106
01/2007,29015.788753404762
02/2007,29045.94193180488
03/2007,28701.701475553236
04/2007,28739.165806265722
05/2007,28290.87355047296
06/2007,27809.741576772674
07/2007,28027.32591535789
08/2007,28300.76377364734
09/2007,30240.34811321918
10/2007,31532.041910833257
11/2007,30621.753241628663
12/2007,32777.152958395694
01/2008,35808.65473460666
02/2008,36936.532069769215
03/2008,34038.146556947
04/2008,32309.712383666087
05/2008,32919.54590785276
06/2008,34006.75244567845
07/2008,33882.45380216737
08/2008,32567.63522659036
09/2008,35620.433210872085
10/2008,32989.40827979893
11/2008,36851.718901375214
12/2008,35784.28769434478
01/2009,41301.09415900371
02/2009,43336.04307211321
03/2009,39631.57078789169
04/2009,38282.434161805184
05/2009,39806.50697967412
06/2009,38030.01981612024
07/2009,38196.31703518364
08/2009,38496.52311008802
09/2009,39095.6286757977
10/2009,40393.643091090664
11/2009,44981.918590837115
12/2009,44038.76057732219
01/2010,44369.986022344216
02/2010,46917.41194963393
03/2010,47535.73277662047
04/2010,50863.793407103716
05/2010,56340.006944533765
06/2010,58204.40125383498
07/2010,51507.97389957234
08/2010,56399.298123721404
09/2010,54955.46919951954
10/2010,55764.0557497078
11/2010,61062.75918587677
12/2010,60538.14105569313
01/2011,55581.92500911813
02/2011,58484.85919823648
03/2011,58070.2065755645
04/2011,59232.294977055564
05/2011,61218.64599267777
06/2011,59691.60575697729
07/2011,65432.87712147445
08/2011,71897.68658337508
09/2011,68719.18698294202
10/2011,70436.90683846569
11/2011,74510.52740066104
12/2011,69667.39959562139
01/2012,75768.26120917425
02/2012,75358.52032711724
03/2012,71230.79580119911
04/2012,71497.78372316732
05/2012,71859.85720550994
06/2012,72621.38274758325
07/2012,75513.13841931275
08/2012,74744.87838960832
09/2012,78527.36126476648
10/2012,75626.08360297634
11/2012,75963.00073413028
12/2012,72067.7706307156
01/2013,70194.5478965236
02/2013,69116.1268611562
03/2013,71288.96183767334
04/2013,64174.210788462326
05/2013,61218.61100259575
06/2013,52023.10911652495
07/2013,56518.49175128863
08/2013,60141.23071601884
09/2013,56045.244742534676
10/2013,55373.02990457595
11/2013,52510.36569010734
12/2013,49686.60890825868
01/2014,52778.34125939415
02/2014,54751.94772927941
03/2014,53405.62908822085
04/2014,53024.33577924543
05/2014,52371.17084807229
06/2014,54858.506006620744
07/2014,54726.839370621004
08/2014,55532.37430931835
09/2014,55058.86003612207
10/2014,52933.54353993105
11/2014,53942.900562831426
12/2014,56227.60856692269
01/2015,63448.23576881793
02/2015,61463.14918245574
03/2015,62773.149837423334
04/2015,59868.41319833199
05/2015,61774.23098502565
06/2015,59518.31628481703
07/2015,56948.96515863058
08/2015,57536.26732612832
09/2015,56523.09895117728
10/2015,58931.16108915373
11/2015,57039.68614678019
12/2015,55435.23496435238
01/2016,57836.96620615882
02/2016,64420.40038976664
03/2016,61702.76416469476
04/2016,64018.47349511563
05/2016,61693.32060138714
06/2016,67528.47076148322
07/2016,68536.35022988805
08/2016,66738.82358618603
09/2016,67228.5087027305
10/2016,65920.79720692261
11/2016,62829.45672512369
12/2016,62357.46576687668
01/2017,63938.29926953709
02/2017,67171.52846960291
03/2017,66000.24901275264
04/2017,65666.77068542405
05/2017,63940.77650512847
06/2017,61671.30150254871
07/2017,61227.255027966145
08/2017,62827.464239547815
09/2017,61544.20171538508
10/2017,61792.76022365333
11/2017,61162.83294816145
12/2017,61188.16477949171
01/2018,61105.296171307215
