Data,IE00B3VSSL01
01/2007,3660.342317688946
02/2007,3495.022776126953
03/2007,3508.841253054323
04/2007,3586.983694101708
05/2007,3810.8632430915245
06/2007,3795.3629180182193
07/2007,3707.811962344838
08/2007,3792.5670460385127
09/2007,3808.8811048273255
10/2007,3947.4645157076843
11/2007,3558.5673434655428
12/2007,3631.760592526862
01/2008,3165.82572429831
02/2008,2946.5176708158206
03/2008,2872.32156187868
04/2008,3111.9532452847648
05/2008,3279.576240426731
06/2008,2914.694319968057
07/2008,2881.8243051957124
08/2008,3125.2156884807246
09/2008,2810.1885733228987
10/2008,2635.6996578351655
11/2008,2424.956652694402
12/2008,2252.3360214548243
01/2009,2335.5635512579533
02/2009,2275.1536862268144
03/2009,2398.3241203586617
04/2009,2670.946042570259
05/2009,2575.3435822354445
06/2009,2667.8237174420647
07/2009,2903.015577758496
08/2009,2938.8914554288162
09/2009,2992.980052776713
10/2009,2934.6859659437578
11/2009,3044.6096179637643
12/2009,3348.3414378773227
01/2010,3161.5950359651097
02/2010,3364.6236397672515
03/2010,3610.9028841747804
04/2010,3709.2586842036185
05/2010,3706.8600041161662
06/2010,3515.825343132863
07/2010,3556.936637104258
08/2010,3443.1602718324334
09/2010,3567.1386847093704
10/2010,3710.481893235855
11/2010,3889.6642452273713
12/2010,3995.129515780098
01/2011,4022.3716514933967
02/2011,4058.6049653231157
03/2011,3889.681652975994
04/2011,3819.4443118103572
05/2011,3897.301712817992
06/2011,3784.263812944758
07/2011,3853.8996488777243
08/2011,3597.1968356352145
09/2011,3730.5222673681033
10/2011,3965.548093828994
11/2011,4079.9066820081557
12/2011,4220.749339590491
01/2012,4400.187412701074
02/2012,4610.139026405333
03/2012,4851.850737062974
04/2012,4851.030885085798
05/2012,4835.981826395055
06/2012,4921.486039944859
07/2012,5128.750466891229
08/2012,5188.84217613404
09/2012,5143.896047177923
10/2012,4793.578128357736
11/2012,4833.66944835111
12/2012,4761.343084439838
01/2013,4708.449760324435
02/2013,4900.97167865943
03/2013,5154.886171308037
04/2013,5135.183610675188
05/2013,5300.922244791458
06/2013,5116.768770776267
07/2013,5222.3611982869825
08/2013,5181.955540587144
09/2013,5202.043899340627
10/2013,5407.048940047089
11/2013,5584.796819783353
12/2013,5710.69508996453
01/2014,5672.656956765489
02/2014,5769.162670969878
03/2014,5822.799804139809
04/2014,5817.756865866257
05/2014,6137.661000044641
06/2014,6230.616175264557
07/2014,6465.354620885179
08/2014,6775.940776789744
09/2014,7059.48721946594
10/2014,7203.946215945623
11/2014,7568.165340111675
12/2014,7610.146015119144
01/2015,7876.631507408202
02/2015,8549.235007729609
03/2015,8629.890287972297
04/2015,8497.219023477284
05/2015,8842.89531200826
06/2015,8311.258623272903
07/2015,8702.324692616832
08/2015,8050.438388595789
09/2015,7952.867057666328
10/2015,8919.845359996487
11/2015,9341.767920460084
12/2015,8904.245652061374
01/2016,8549.81000698213
02/2016,8500.382606251174
03/2016,8843.64885448877
04/2016,8381.671738922698
05/2016,8982.391580331909
06/2016,8899.634790774284
07/2016,9507.972172911373
08/2016,9595.599874756419
09/2016,9765.391513568968
10/2016,9874.632803784687
11/2016,10164.41451853769
12/2016,10484.640997530774
01/2017,10642.687039029839
02/2017,11283.375195805258
03/2017,11425.000475890314
04/2017,11387.110099280171
05/2017,11516.212404211097
06/2017,11011.961067208775
07/2017,11192.632295600053
08/2017,11413.04932142059
09/2017,11528.862644761843
10/2017,12443.913345327843
11/2017,12396.889101189292
12/2017,12299.745015463619
01/2018,12671.08227975685
02/2018,12857.986569140106
03/2018,12271.112879632266
04/2018,12511.911412429818
05/2018,13773.087938282113
06/2018,13796.56126351373
07/2018,13986.309550128964
08/2018,15016.27677528445
09/2018,15098.334259222487
10/2018,14196.479679694303
11/2018,13899.807144626766
12/2018,12623.172091253868
01/2019,13452.934414131645
02/2019,14458.529719586748
03/2019,15395.819251305686
04/2019,16405.687135171225
05/2019,15057.508956581318
06/2019,16100.551036158457
07/2019,16976.28596564343
08/2019,16879.9339144035
09/2019,17361.697347149027
10/2019,17602.579559048416
