Data,DE000A2T0VU5
07/1999,14036.171053501632
08/1999,14150.26456241288
09/1999,16459.54008947167
10/1999,16796.507861975173
11/1999,16935.63935940286
12/1999,16954.809701814207
01/2000,16977.288781378724
02/2000,17734.47595387356
03/2000,16992.85390455223
04/2000,17755.906493870283
05/2000,17160.64473359052
06/2000,17679.41896576607
07/2000,17552.321719719534
08/2000,18230.318466208373
09/2000,18296.82805025724
10/2000,18413.480964693754
11/2000,18154.96283490354
12/2000,17164.126494111
01/2001,16669.986615177688
02/2001,16887.929519259495
03/2001,17084.10295558804
04/2001,17356.36541626904
05/2001,18464.578930408912
06/2001,18675.79127977222
07/2001,17772.18427057798
08/2001,17441.115287608438
09/2001,18777.994977018763
10/2001,18031.6006679779
11/2001,18107.072539453875
12/2001,18345.354650366575
01/2002,19109.0971739241
02/2002,20058.612824358108
03/2002,20192.63701681436
04/2002,19994.194775624594
05/2002,20329.418622639067
06/2002,18653.534624308562
07/2002,18189.7585479841
08/2002,18578.67487757488
09/2002,19170.643275483493
10/2002,18757.437281587554
11/2002,18762.034540003944
12/2002,19076.61585090249
01/2003,19829.10608259094
02/2003,18803.416577222495
03/2003,17930.753431922272
04/2003,17647.480338202837
05/2003,17829.616598046632
06/2003,17657.2435519188
07/2003,18275.48093745008
08/2003,20039.24404251172
09/2003,19409.783524504495
10/2003,19369.204645271984
11/2003,19353.510448771613
12/2003,19248.038243064406
01/2004,18804.176998023413
02/2004,18566.918176106927
03/2004,20185.803300007643
04/2004,18934.92684113574
05/2004,18769.20422853849
06/2004,18954.92556163534
07/2004,18921.97266223626
08/2004,19568.34537354734
09/2004,19489.406464753498
10/2004,19436.843754281843
11/2004,19836.801412983783
12/2004,18701.416193512825
01/2005,18832.173597100544
02/2005,19097.367019384925
03/2005,19169.58269519389
04/2005,19544.95950297333
05/2005,19532.612731833742
06/2005,21004.31804807384
07/2005,20610.226870041544
08/2005,20632.146141248602
09/2005,22825.882818100094
10/2005,22737.759756065832
11/2005,24453.733276425184
12/2005,25245.98464161452
01/2006,27244.361100004833
02/2006,27174.529469249705
03/2006,27903.03800281558
04/2006,29804.969351093514
05/2006,29439.648446795494
06/2006,27991.650176567713
07/2006,28732.286814035986
08/2006,28134.003127269032
09/2006,27443.50365708353
10/2006,27567.06953686122
11/2006,28396.58175329951
12/2006,27972.896971872276
01/2007,29097.239921975302
02/2007,29127.72022134697
03/2007,28782.753293729093
04/2007,28820.563277656656
05/2007,28371.24150236742
06/2007,27888.97916892249
07/2007,28107.415873211154
08/2007,28381.86932692972
09/2007,30327.248726797614
10/2007,31622.907146041565
11/2007,30710.25884096881
12/2007,32872.14419640098
01/2008,35912.70548126626
02/2008,37044.159410609
03/2008,34137.63715207421
04/2008,32404.435393643038
05/2008,33016.326815553126
06/2008,34107.00479220002
07/2008,33982.62393971842
08/2008,32664.20142105327
09/2008,35726.323448872914
10/2008,33087.774887699634
11/2008,36961.87773691539
12/2008,35891.563731581846
01/2009,41425.20786788124
02/2009,43466.61720572857
03/2009,39751.345343006695
04/2009,38398.46261667519
05/2009,39927.47466337797
06/2009,38145.921675788915
07/2009,38313.04359180862
08/2009,38614.48636093026
09/2009,39215.749527612
10/2009,40518.07887459412
11/2009,45120.82656729335
12/2009,44175.132008795874
01/2010,44507.751260193385
