Data,IE00B52SFT06
07/2021,1426869.360755723
08/2021,1475661.467482814
09/2021,1436544.609588748
10/2021,1527637.297333015
11/2021,1549365.8157613806
12/2021,1615435.2584571685
01/2022,1546749.5221740408
02/2022,1495244.2438454782
03/2022,1561067.3824730439
04/2022,1494674.2069826638
05/2022,1466905.487263691
06/2022,1387307.0558349083
07/2022,1544432.7039437676
08/2022,1512892.7629671714
09/2022,1407649.3109038281
10/2022,1493566.0520985895
11/2022,1504294.8824729715
12/2022,1376937.0193961824
01/2023,1444531.5882181772
02/2023,1438066.0992426153
03/2023,1453693.877757136
04/2023,1457531.1866901258
05/2023,1507533.6073512745
06/2023,1580561.7909193432
07/2023,1611247.557921172
08/2023,1606237.872331966
09/2023,1570075.6598148833
10/2023,1529902.5925449594
11/2023,1625954.716683234
12/2023,1683778.822215104
01/2024,1743154.055344733
02/2024,1838076.5065555274
03/2024,1898666.914125163
04/2024,1835565.7702705946
