Data,IE00B60SWX25
11/2012,55474.453810421735
12/2012,56823.02239378026
01/2013,58411.059207378305
02/2013,56920.028902988335
03/2013,56752.591961703736
04/2013,59046.685064958816
05/2013,60970.11628219914
06/2013,57407.01913973152
07/2013,61145.7703461041
08/2013,60126.65405088775
09/2013,64010.50298383388
10/2013,67924.46508098757
11/2013,68454.08808902667
12/2013,69009.18445554216
01/2014,67027.31717785796
02/2014,70046.49151946309
03/2014,70391.69553916519
04/2014,71463.01608575897
05/2014,73389.02817919418
06/2014,73158.33250405756
07/2014,70684.97771689884
08/2014,71996.11219205029
09/2014,73291.93163629684
10/2014,70805.38951138647
11/2014,74020.09260444762
12/2014,71739.48221459164
01/2015,76536.33201729739
02/2015,82201.11136212482
03/2015,84516.13235928645
04/2015,82937.3329043939
05/2015,82836.53749921478
06/2015,79577.73654037337
07/2015,83725.34762144928
08/2015,76081.89182915889
09/2015,72211.7839030647
10/2015,79678.05392912007
11/2015,81821.1835865867
12/2015,76303.75966631636
01/2016,71214.03068999757
02/2016,68922.49401074722
03/2016,70352.87288014228
04/2016,71268.84607961452
05/2016,73015.14205732479
06/2016,68491.83523881188
07/2016,71581.17980559582
08/2016,72398.56839444376
09/2016,71961.00331725272
10/2016,73303.24788724401
11/2016,73307.29866670512
12/2016,79099.05419639045
01/2017,77734.7545617033
02/2017,79968.97426980894
03/2017,84481.16461510553
04/2017,86135.24268118097
05/2017,86978.91211000767
06/2017,84388.79492341538
07/2017,84630.69110579528
08/2017,84016.10848485696
09/2017,88342.4766354863
10/2017,90340.4235549784
11/2017,87834.9407644384
12/2017,86295.56681218
01/2018,88959.12529379631
02/2018,84854.88849157732
03/2018,83004.51773361994
04/2018,87820.67005256753
05/2018,85604.31992332346
06/2018,85427.6721269071
07/2018,88784.3622370942
08/2018,85487.3757721836
09/2018,85718.19042615268
10/2018,80685.09315915841
11/2018,80110.8314670081
12/2018,75879.5857004561
01/2019,80052.6285971496
02/2019,83585.00171704128
03/2019,85105.01274960257
04/2019,89637.01232673031
05/2019,84679.23194662281
06/2019,89757.99175464318
07/2019,89674.48674850729
08/2019,88708.22645614116
09/2019,92477.5186999874
10/2019,93472.31820734713
11/2019,96082.50092706668
12/2019,97231.18416205481
01/2020,94637.97544486115
02/2020,86628.6448739923
03/2020,72582.15460107381
04/2020,76443.6808067915
05/2020,80061.29714468103
06/2020,85177.92232713511
07/2020,83806.9435276397
08/2020,86471.80130671462
