Data,IE00B3F81K65
07/2020,57499.820013151744
08/2020,56466.46895109566
09/2020,57544.646633962
10/2020,57794.42816900806
11/2020,56964.98537769454
12/2020,56295.45103156847
01/2021,55957.1184695958
02/2021,54680.77932263884
03/2021,55396.61884315088
04/2021,54321.80978056599
05/2021,54212.167021822475
06/2021,55197.31098939172
07/2021,56069.09646549355
08/2021,56025.32078477201
09/2021,56037.59656972567
10/2021,55490.8690123208
11/2021,56966.22203116955
12/2021,56718.7923208665
01/2022,56399.873589829396
02/2022,55618.30761492105
03/2022,54109.52410167802
04/2022,53839.63033451857
05/2022,52920.51203456679
06/2022,52946.107479254206
07/2022,54812.6147215725
08/2022,53558.97984529638
09/2022,52216.13089989228
10/2022,50972.1312762965
11/2022,50785.5623681717
12/2022,49310.45861376602
01/2023,49985.67121141439
02/2023,49392.65923035093
03/2023,50030.293798616316
04/2023,49699.5425384217
05/2023,50012.153391148335
06/2023,49047.935626270984
07/2023,48370.84995274974
08/2023,48406.302584271405
09/2023,48044.51356431599
10/2023,47325.27888729418
11/2023,48132.16987655556
12/2023,49642.28050101388
01/2024,49819.91257085708
02/2024,49126.56851349437
03/2024,49400.65980875977
04/2024,48384.89475272888
