Data,IE00BYML9W36
11/2011,41797.18122478206
12/2011,43786.132657520575
01/2012,44923.63805575232
02/2012,45933.50350041791
03/2012,47752.221290329246
04/2012,47960.56900282602
05/2012,48023.6141040228
06/2012,49257.61942209583
07/2012,51183.763397970404
08/2012,50977.38795101454
09/2012,51002.47418375196
10/2012,49815.85006885386
11/2012,50129.68345203166
12/2012,49787.00628854206
01/2013,50987.890839328735
02/2013,53335.14661749187
03/2013,56733.28186782481
04/2013,56642.864112928684
05/2013,58259.54673635177
06/2013,57149.62639116352
07/2013,59173.182901810374
08/2013,57630.643061044546
09/2013,58247.123270991106
10/2013,60314.74126443582
11/2013,62287.24749935664
12/2013,63028.06018217228
01/2014,62084.21801743301
02/2014,63525.754019423315
03/2014,64173.10232931405
04/2014,64355.36590831004
05/2014,67039.77452645623
06/2014,68166.27405333341
07/2014,68625.2223247339
08/2014,72401.4622859677
09/2014,74815.47192140287
10/2014,77000.76870036204
11/2014,79328.13447454842
12/2014,81353.9506950031
01/2015,84743.77007327271
02/2015,90129.0107121472
03/2015,92665.45371588493
04/2015,89746.76778532012
05/2015,92927.19338470591
06/2015,89340.69488619793
07/2015,93055.22046845256
08/2015,85503.33065095237
09/2015,83473.43093363752
10/2015,92039.47577309968
11/2015,96131.30668966852
12/2015,91934.40123197937
01/2016,87104.45472227897
02/2016,87238.96576229218
03/2016,89086.71751963742
04/2016,89287.31410768715
05/2016,92915.97338840245
06/2016,93589.29519754204
07/2016,96939.79355454318
08/2016,96906.24549915447
09/2016,96668.47578512739
10/2016,96765.28754231993
11/2016,103279.48156917916
12/2016,106255.73645213021
01/2017,106112.23225704701
02/2017,111966.27536052557
03/2017,111106.42576812391
04/2017,109788.47015375804
05/2017,108441.62823984314
06/2017,107287.68401113103
07/2017,106548.22153095258
08/2017,105984.31424250329
09/2017,108340.20036917468
10/2017,112464.22352630719
11/2017,113844.64611114725
12/2017,113723.53633171855
01/2018,115751.37979954781
02/2018,113698.47026205425
03/2018,109841.89093304993
04/2018,112467.88876428171
05/2018,118912.77115559646
06/2018,120060.43753295501
07/2018,123695.81550644296
08/2018,128652.9970739834
09/2018,130218.21305239061
10/2018,124077.87237634906
11/2018,126144.19152341942
12/2018,113837.37065096422
01/2019,122548.24831111943
02/2019,127275.69701494712
03/2019,131833.83177177113
04/2019,137374.07073750783
05/2019,129411.4453459798
06/2019,135738.86495043334
07/2019,140511.83719683022
08/2019,139721.0837039997
09/2019,144251.04877654658
10/2019,143867.98308011293
11/2019,151419.3085130855
12/2019,152484.12235525312
01/2020,154928.0357826418
02/2020,143139.5043988908
03/2020,125694.3507745143
04/2020,142845.4658430242
05/2020,146148.9242302447
06/2020,148224.1989588518
07/2020,147985.34231534772
08/2020,157394.12051549111
09/2020,154407.3650064076
10/2020,150423.31548258956
11/2020,162954.48570487084
12/2020,165200.1069027891
01/2021,165344.44985944568
02/2021,170107.11037748415
03/2021,183546.7674025654
04/2021,187621.93870380358
05/2021,187081.79669148164
06/2021,196548.31735584943
07/2021,201090.55434656976
08/2021,208194.49121365714
09/2021,202874.56339957938
10/2021,215849.39346759225
11/2021,219664.52096139058
12/2021,230249.70751069405
01/2022,221652.50718229084
02/2022,214180.93293953355
03/2022,224085.55042601147
04/2022,215422.6579036756
05/2022,212323.62011873315
06/2022,200902.60127976647
07/2022,223484.99422167626
08/2022,218606.20643413012
09/2022,203594.3807168914
10/2022,216384.181003246
11/2022,218294.6240161919
12/2022,200115.26005607407
01/2023,209402.23109018628
02/2023,208401.160145895
03/2023,210957.85672766867
04/2023,212173.72029440152
05/2023,219031.42977091085
06/2023,229562.36085597388
07/2023,233552.70070772676
08/2023,233102.45832510083
09/2023,227720.28623270354
10/2023,222397.71066882132
11/2023,235771.55974726597
12/2023,243818.5537463883
01/2024,252778.3036235871
02/2024,266535.63620571746
03/2024,275481.94328938867
04/2024,266511.1117373336
