Data,DE000A2T0VS9
04/2020,27553.858510840397
05/2020,30858.988046580074
06/2020,31123.240927043193
07/2020,39667.23044121161
08/2020,44712.798024642
09/2020,39540.92860943386
10/2020,39395.40273125651
11/2020,36053.88010258621
12/2020,42076.27573240352
01/2021,44024.91582293299
02/2021,42891.720830813094
03/2021,39865.31161740332
04/2021,41697.19447919922
05/2021,44077.878838904166
06/2021,42185.09769641107
07/2021,41696.9124208107
08/2021,39509.4096822082
09/2021,36135.085585078
10/2021,40066.89015602866
11/2021,39090.41023134102
12/2021,39583.077535423225
01/2022,39146.65783155592
02/2022,42199.69972148639
03/2022,43371.85802267194
04/2022,43144.67958426137
05/2022,39401.64745811966
06/2022,38096.41370336383
07/2022,38125.15314497799
08/2022,34760.025688000904
09/2022,37783.754944298234
10/2022,37422.36240853462
11/2022,40212.59681749966
12/2022,43433.94530164829
01/2023,41053.9750406574
02/2023,37369.64988031824
03/2023,42451.63464220355
04/2023,43577.36091123301
05/2023,42047.97590752511
06/2023,39931.034121183984
07/2023,42651.74239286078
08/2023,43566.25857021944
09/2023,42019.705894215185
10/2023,42134.56371037904
11/2023,44129.627238432695
12/2023,41494.33183322211
01/2024,41051.82647380414
02/2024,39745.75474640447
03/2024,43707.83062740994
04/2024,47872.9236794331
