Data,IE00B5VX7566
09/2002,63057.47975680637
10/2002,58634.73155292033
11/2002,60609.48530716284
12/2002,55888.34371672613
01/2003,51983.03086578068
02/2003,52443.66477452387
03/2003,49542.843798543305
04/2003,48105.608235751366
05/2003,47482.46159714909
06/2003,52738.211444802306
07/2003,55398.72074647446
08/2003,63418.82809852047
09/2003,62989.178456044996
10/2003,66032.14259350527
11/2003,61998.4012768086
12/2003,62948.775369240204
01/2004,65350.7567269517
02/2004,64970.078182642486
03/2004,74853.0369335291
04/2004,72424.31029188511
05/2004,68431.87281220253
06/2004,72361.5621442722
07/2004,68716.38535922374
08/2004,68791.78215579732
09/2004,65553.89474918181
10/2004,65523.094996530286
11/2004,65792.18877086749
12/2004,67500.83953806318
01/2005,68886.71559112237
02/2005,69117.79432625088
03/2005,69206.48323698898
04/2005,67451.32777815673
05/2005,70219.17831001816
06/2005,71524.81268838272
07/2005,72219.99000038733
08/2005,76568.4845699548
09/2005,85561.88413687226
10/2005,84655.78514362393
11/2005,90160.9606990531
12/2005,97646.50280400804
01/2006,99837.43416160833
02/2006,101000.48253596219
03/2006,101572.84554196021
04/2006,100901.16816225513
05/2006,92175.88573256914
06/2006,92250.59208063102
07/2006,91337.38243161031
08/2006,92087.63360057493
09/2006,91929.6638229238
10/2006,93250.10224048175
11/2006,90310.64763767415
12/2006,92751.2783617869
01/2007,95080.83439323926
02/2007,96966.51028171905
03/2007,94900.6842208841
04/2007,91075.60852753329
05/2007,93593.27639983736
06/2007,92938.58328245877
07/2007,91405.23690053113
08/2007,88718.57193741937
09/2007,87716.92822362873
10/2007,85747.2948710857
11/2007,82371.45071923401
12/2007,79313.02365180841
01/2008,74917.20443516837
02/2008,73944.25438731477
03/2008,68039.31545204572
04/2008,74249.42518473284
05/2008,76263.56638137171
06/2008,69898.51489957956
07/2008,68166.9423874509
08/2008,69335.68860204123
09/2008,63411.60190510084
10/2008,60576.64817456432
11/2008,59953.36404588248
12/2008,59272.88783812966
01/2009,59980.79115784891
02/2009,53259.281193867915
03/2009,51655.94876949795
04/2009,56760.81440152443
05/2009,58944.15770660468
06/2009,59818.63833984621
07/2009,62349.84096981546
08/2009,64185.02207505763
09/2009,61471.24605970308
10/2009,59284.162445576854
11/2009,57795.93204476164
12/2009,60726.96906646972
01/2010,63819.59885307338
02/2010,66406.95086546362
03/2010,70183.61360673493
04/2010,70925.86357335793
05/2010,70518.41487645476
06/2010,69295.02711362645
07/2010,67581.09499558265
08/2010,67838.99532052694
09/2010,65901.62526778999
10/2010,66221.3550608812
11/2010,72071.20345563824
12/2010,75437.30422459195
01/2011,73700.49313772608
02/2011,76258.53297585995
03/2011,67422.3567760168
04/2011,64683.98792583699
05/2011,65721.54538155832
06/2011,66360.12902591619
07/2011,69629.76731949962
08/2011,63118.270317208335
09/2011,66423.76619265757
10/2011,63892.59365088145
11/2011,63714.866098281884
12/2011,66610.73396558262
01/2012,68359.22705497943
02/2012,70371.91369919089
03/2012,71767.05607279373
04/2012,70210.32064192487
05/2012,68112.71886113386
06/2012,70539.52949684374
07/2012,70559.06593623683
08/2012,68219.19574247902
09/2012,68072.85622614658
10/2012,66463.49290114979
11/2012,68067.86980646136
12/2012,70533.20880062734
01/2013,71190.54777557187
02/2013,75421.04001241217
03/2013,81093.43944238641
04/2013,86391.44184174399
05/2013,81897.83246550636
06/2013,82845.12003396683
07/2013,82107.24437631023
08/2013,80570.38306404123
09/2013,85542.45727640239
10/2013,84675.22842945505
11/2013,86110.49207912179
12/2013,85649.24345200702
01/2014,84006.66012893873
02/2014,81746.14570340424
03/2014,80826.84352448053
04/2014,78374.62768584734
05/2014,82987.79569312645
06/2014,86988.1860290724
07/2014,89302.5727983312
08/2014,88614.65503839627
09/2014,92200.78076757972
10/2014,91413.2438514291
11/2014,91980.53737306457
12/2014,93200.27719279118
01/2015,102415.33378252115
02/2015,109241.75149586506
03/2015,115857.61176082489
04/2015,115064.89074474487
05/2015,119149.43040146542
06/2015,114795.49163514908
07/2015,117652.32268368246
08/2015,108345.47817913527
09/2015,101068.09432422488
10/2015,113128.3696528549
11/2015,116617.66002879365
12/2015,113667.94111349489
01/2016,103984.88549472555
02/2016,101413.87267146852
03/2016,101558.8296437373
04/2016,106096.27623814456
05/2016,107321.47587573365
06/2016,105150.44986976757
07/2016,111838.54765693394
08/2016,112056.23525008548
09/2016,113537.06753862379
10/2016,117276.60266028495
11/2016,117776.28260913819
12/2016,119960.94772931014
01/2017,121929.41653040847
02/2017,125111.69902889611
03/2017,123535.22218292175
04/2017,122082.1731751621
05/2017,122474.32322034186
06/2017,121682.46110569619
07/2017,120790.26443501191
08/2017,119708.31547080204
09/2017,122231.77374787164
10/2017,129693.08855288502
11/2017,131173.10529057746
12/2017,130480.72471979617
01/2018,131357.1787657498
