Data,IE00B8KGV557
01/2006,34096.89290752214
02/2006,34942.55355826623
03/2006,34726.87192712601
04/2006,35136.3638971072
05/2006,31118.85579888684
06/2006,30962.538320145246
07/2006,31462.729515340056
08/2006,31983.89012947129
09/2006,33210.47930893224
10/2006,34805.33404441221
11/2006,35857.98853433375
12/2006,37961.21358971864
01/2007,38383.30744667348
02/2007,37438.84138559455
03/2007,38239.36181415869
04/2007,39590.7782520698
05/2007,41781.19085438637
06/2007,43026.50073432865
07/2007,43633.60227601756
08/2007,42923.18119194024
09/2007,44890.971782649875
10/2007,48252.04255707044
11/2007,43960.10148593605
12/2007,44740.68181982745
01/2008,40188.11142469825
02/2008,41673.034165897836
03/2008,39075.44086581304
04/2008,42066.425363202434
05/2008,42607.83046510173
06/2008,38961.585902833416
07/2008,38227.09423591971
08/2008,38183.70525489725
09/2008,33684.138519516186
10/2008,29365.33912554844
11/2008,28314.77546642623
12/2008,27410.657618472178
01/2009,27635.49779919574
02/2009,26845.412613088927
03/2009,28180.94038916758
04/2009,31913.01192297585
05/2009,33621.34328247279
06/2009,34007.936661363674
07/2009,37123.00857218043
08/2009,36544.66094516987
09/2009,38338.50708376418
10/2009,38215.56452857491
11/2009,38811.58535355373
12/2009,42039.48570667462
01/2010,41805.48383650404
02/2010,43395.78449588859
03/2010,46527.785527939806
04/2010,47656.43992718387
05/2010,48700.33290711892
06/2010,49725.38105467394
07/2010,50672.33258019624
08/2010,52653.74895462338
09/2010,53604.27843244295
10/2010,54375.39590376203
11/2010,56424.04627312081
12/2010,58192.11025904938
01/2011,54551.59157036476
02/2011,53454.97010959668
03/2011,54930.14639154732
04/2011,54856.193651763846
05/2011,56304.00555228751
06/2011,55607.44369415147
07/2011,57150.477818736676
08/2011,53543.092212127114
09/2011,50518.36517100966
10/2011,53429.6204135431
11/2011,53540.897361795156
12/2011,56156.57069373817
01/2012,59103.929750212315
02/2012,61443.85631854291
03/2012,61523.27169976031
04/2012,62800.75068670104
05/2012,61288.74668428347
06/2012,63091.941131474574
07/2012,66387.86067392598
08/2012,64841.82301128745
09/2012,65624.1850522337
10/2012,65139.00061743849
11/2012,65797.90914034566
12/2012,67054.7069834737
01/2013,66534.17055941827
02/2013,69108.438934247
03/2013,70489.9001514405
04/2013,70636.0654849892
05/2013,68848.12025552362
06/2013,66084.83624031417
07/2013,65014.77174534898
08/2013,62975.44421982127
09/2013,65151.99896459454
10/2013,66855.84805064305
11/2013,65200.82461046567
12/2013,63863.9628089202
01/2014,60994.075510261835
02/2014,61408.142726652884
03/2014,63288.672162096496
04/2014,64000.51352432925
05/2014,66654.52388538205
06/2014,67777.58065724152
07/2014,70121.13232648662
08/2014,72786.7399284632
09/2014,72992.85009010496
10/2014,74169.59034349285
11/2014,73383.98045921941
12/2014,73052.21692294818
01/2015,79286.0796207521
02/2015,81080.51574042259
03/2015,85301.65138733565
04/2015,86464.90095171511
05/2015,85177.4375977838
06/2015,81345.16230672298
07/2015,79850.49180579449
08/2015,71345.7784112126
09/2015,69431.96362790419
10/2015,74663.6322283977
11/2015,73865.95015685144
12/2015,71364.93237845744
01/2016,67978.79640769323
02/2016,68266.18689928463
03/2016,71694.37135265545
04/2016,71733.26856299305
05/2016,71188.4657496357
06/2016,74184.09115193394
07/2016,76117.4015146027
08/2016,77170.43789763127
09/2016,77162.39253377363
10/2016,77732.75607609426
11/2016,76331.04778319693
